stimulus,condition,rt1,resp1,rt2,resp2,rt3,resp3,rt4,resp4,rt5,resp5,enter_rt,enter_resp,unknown,subject,session
84274,2,898,8,225,4,267,2,267,7,235,4,256,-35,,1,1
94387,2,848,9,240,4,199,3,217,8,207,7,301,-35,,1,1
58423,2,777,5,226,8,212,4,244,2,331,3,274,-35,,1,1
81942,2,1000,8,212,1,235,9,298,4,272,1,3,2,,1,1
71843,2,1182,7,235,1,226,8,518,3,218,-35,0,-48,,1,1
23874,2,705,2,217,3,207,8,203,7,213,4,256,-35,,1,1
59737,0,1048,5,226,9,239,7,245,3,198,7,274,-35,,1,1
74384,2,849,7,253,4,290,2,777,9,485,5,438,-35,,1,1
45256,2,1055,4,226,5,263,2,262,5,231,6,287,-35,,1,1
87814,2,1062,8,253,7,213,8,239,1,226,4,292,-35,,1,1
38186,0,779,2,235,9,321,1,459,8,513,6,287,-35,,1,1
14619,2,869,1,271,4,318,6,253,1,281,9,315,-35,,1,1
81439,2,800,8,281,1,266,4,227,3,262,9,316,-35,,1,1
42745,0,642,4,204,2,244,7,271,4,212,5,289,-35,,1,1
46397,2,1092,1,290,3,645,3,1473,9,339,7,302,-35,,1,1
39258,2,898,3,285,9,312,2,231,5,212,8,297,-35,,1,1
42581,2,853,4,231,2,257,5,254,8,262,1,256,-35,,1,1
78187,2,1159,7,203,8,207,1,195,8,161,7,256,-35,,1,1
58638,0,825,5,235,8,294,6,258,3,230,8,251,-35,,1,1
69439,0,837,6,235,9,248,4,217,3,226,9,269,-35,,1,1
26384,2,765,2,226,6,249,3,220,8,231,4,283,-35,,1,1
71252,2,808,7,289,1,236,2,207,5,221,2,238,-35,,1,1
92742,2,675,9,262,2,289,7,376,4,181,2,265,-35,,1,1
12592,0,675,1,208,2,212,5,358,9,518,2,247,-35,,1,1
92592,2,769,9,216,2,221,5,213,9,234,2,247,-35,,1,1
94384,2,702,9,275,4,245,3,244,8,230,4,288,-35,,1,1
71461,0,718,7,249,1,244,4,249,3,575,1,261,-35,,1,1
